datetime,juice
2016-01-01,4.18237
2016-01-02,4.53495
2016-01-03,4.8389
2016-01-04,5.9696
2016-01-05,5.51975
2016-01-06,6.05471
2016-01-07,6.56534
2016-01-08,6.51671
2016-01-09,4.48632
2016-01-10,5.19148
2016-01-11,7.92705
2016-01-12,7.74468
2016-01-13,8.14589
2016-01-14,7.30699
2016-01-15,7.14893
2016-01-16,5.67781
2016-01-17,5.98176
2016-01-18,6.74772
2016-01-19,5.88449
2016-01-20,5.77507
2016-01-21,6.51671
2016-01-22,6.06686
2016-01-23,4.49848
2016-01-24,5.02127
2016-01-25,6.37082
2016-01-26,38.78419
2016-01-27,14.90577
2016-01-28,9.81155
2016-01-29,6.78419
2016-01-30,6.06686
2016-01-31,8.26747
2016-02-01,11.57446
2016-02-02,12.41337
2016-02-03,11.9392
2016-02-04,13.09422
2016-02-05,12.34042
2016-02-06,12.3161
2016-02-07,11.59878
2016-02-08,9.10638
2016-02-09,10.33434
2016-02-10,11.22188
2016-02-11,9.81155
2016-02-12,8.10942
2016-02-13,7.67173
2016-02-14,6.66261
2016-02-15,9.33738
2016-02-16,10.55319
2016-02-17,10.97872
2016-02-18,12.36474
2016-02-19,12.65653
2016-02-20,10.73556
2016-02-21,10.78419
2016-02-22,13.32522
2016-02-23,12.54711
2016-02-24,11.58662
2016-02-25,11.35562
2016-02-26,12.34042
2016-02-27,12.79027
2016-02-28,12.30395
2016-02-29,24.27963
2016-03-01,32.63221
2016-03-02,28.68085
2016-03-03,27.27051
2016-03-04,23.64741
2016-03-05,19.48936
2016-03-06,22.52887
2016-03-07,17.79939
2016-03-08,15.28267
2016-03-09,16.54711
2016-03-10,16.34042
2016-03-11,14.15197
2016-03-12,14.03039
2016-03-13,13.99392
2016-03-14,13.28875
2016-03-15,30.94224
2016-03-16,20.94832
2016-03-17,19.75683
2016-03-18,20.17021
2016-03-19,19.3313
2016-03-20,18.00607
2016-03-21,16.82674
2016-03-22,14.93009
2016-03-23,14.74772
2016-03-24,15.90273
2016-03-25,16.68085
2016-03-26,13.9696
2016-03-27,15.51367
2016-03-28,15.2462
2016-03-29,18.18844
2016-03-30,18.9544
2016-03-31,18.99088
2016-04-01,16.85106
2016-04-02,19.08814
2016-04-03,18.3465
2016-04-04,21.45896
2016-04-05,18.1155
2016-04-06,22.28571
2016-04-07,22.94224
2016-04-08,20.43768
2016-04-09,18.80851
2016-04-10,16.07294
2016-04-11,18.39513
2016-04-12,21.86018
2016-04-13,24.14589
2016-04-14,21.65349
2016-04-15,21.8237
2016-04-16,17.95744
2016-04-17,18.4924
2016-04-18,21.58054
2016-04-19,24.62006
2016-04-20,23.23404
2016-04-21,20.20668
2016-04-22,19.78115
2016-04-23,24.37689
2016-04-24,26.27355
2016-04-25,29.58054
2016-04-26,28.71732
2016-04-27,24.49848
2016-04-28,26.43161
2016-04-29,27.59878
2016-04-30,28.88753
2016-05-01,29.95744
2016-05-02,31.44072
2016-05-03,29.24012
2016-05-04,28.92401
2016-05-05,32.06079
2016-05-06,29.13069
2016-05-07,28.93617
2016-05-08,28.8389
2016-05-09,30.62613
2016-05-10,33.86018
2016-05-11,36.97264
2016-05-12,29.16717
2016-05-13,23.31914
2016-05-14,24.91185
2016-05-15,22.52887
2016-05-16,24.6079
2016-05-17,29.00911
2016-05-18,28.66869
2016-05-19,34.51671
2016-05-20,30.37082
2016-05-21,29.51975
2016-05-22,30.68693
2016-05-23,29.56838
2016-05-24,24.29179
2016-05-25,35.56231
2016-05-26,41.02127
2016-05-27,45.39817
2016-05-28,34.51671
2016-05-29,37.09422
2016-05-30,33.30091
2016-05-31,30.32218
2016-06-01,28.48632
2016-06-02,30.39513
2016-06-03,28.77811
2016-06-04,27.02735
2016-06-05,28.32826
2016-06-06,30.69908
2016-06-07,31.65957
2016-06-08,34.74772
2016-06-09,42.39513
2016-06-10,37.17933
2016-06-11,33.13069
2016-06-12,32.30395
2016-06-13,34.00607
2016-06-14,31.65957
2016-06-15,26.38297
2016-06-16,26.45592
2016-06-17,29.5927
2016-06-18,37.20364
2016-06-19,32.19452
2016-06-20,34.73556
2016-06-21,31.45288
2016-06-22,27.00303
2016-06-23,29.48328
2016-06-24,23.57446
2016-06-25,23.98784
2016-06-26,27.73252
2016-06-27,26.09118
2016-06-28,27.11246
2016-06-29,27.07598
2016-06-30,29.77507
2016-07-01,20.10942
2016-07-02,23.91489
2016-07-03,24.0
2016-07-04,21.05775
2016-07-05,20.93617
2016-07-06,23.34346
2016-07-07,24.66869
2016-07-08,25.22796
2016-07-09,26.3465
2016-07-10,31.17325
2016-07-11,29.10638
2016-07-12,27.36778
2016-07-13,27.6231
2016-07-14,27.40425
2016-07-15,24.6079
2016-07-16,19.59878
2016-07-17,20.40121
2016-07-18,23.1003
2016-07-19,27.76899
2016-07-20,28.68085
2016-07-21,26.75987
2016-07-22,23.52583
2016-07-23,23.46504
2016-07-24,22.48024
2016-07-25,23.36778
2016-07-26,23.36778
2016-07-27,20.44984
2016-07-28,21.17933
2016-07-29,18.44376
2016-07-30,18.55319
2016-07-31,19.40425
2016-08-01,19.51367
2016-08-02,19.3313
2016-08-03,21.4468
2016-08-04,29.28875
2016-08-05,32.0
2016-08-06,28.82674
2016-08-07,20.58358
2016-08-08,24.15805
2016-08-09,23.19756
2016-08-10,22.61398
2016-08-11,21.84802
2016-08-12,20.37689
2016-08-13,18.71124
2016-08-14,18.67477
2016-08-15,18.23708
2016-08-16,19.74468
2016-08-17,20.10942
2016-08-18,18.06686
2016-08-19,17.62917
2016-08-20,16.72948
2016-08-21,20.96048
2016-08-22,25.16717
2016-08-23,21.64133
2016-08-24,19.23404
2016-08-25,17.25227
2016-08-26,14.21276
2016-08-27,15.76899
2016-08-28,12.93617
2016-08-29,44.29179
2016-08-30,18.60182
2016-08-31,12.65653
2016-09-01,14.51671
2016-09-02,13.20364
2016-09-03,15.27051
2016-09-04,13.8237
2016-09-05,17.93313
2016-09-06,33.04559
2016-09-07,15.25835
2016-09-08,14.61398
2016-09-09,14.94224
2016-09-10,11.9392
2016-09-11,12.25531
2016-09-12,11.13677
2016-09-13,12.8389
2016-09-14,10.68693
2016-09-15,8.81458
2016-09-16,10.06686
2016-09-17,10.06686
2016-09-18,9.5927
2016-09-19,10.66261
2016-09-20,11.25835
2016-09-21,11.44072
2016-09-22,11.67173
2016-09-23,12.21884
2016-09-24,11.67173
2016-09-25,11.7082
2016-09-26,11.34346
2016-09-27,12.88753
2016-09-28,10.93009
2016-09-29,10.3465
2016-09-30,10.31003
2016-10-01,8.231
2016-10-02,8.81458
2016-10-03,9.61702
2016-10-04,10.28571
2016-10-05,11.92705
2016-10-06,15.73252
2016-10-07,8.18237
2016-10-08,7.96352
2016-10-09,7.11246
2016-10-10,8.41337
2016-10-11,8.42553
2016-10-12,8.09726
2016-10-13,7.41641
2016-10-14,8.89969
2016-10-15,7.7082
2016-10-16,8.01215
2016-10-17,8.72948
2016-10-18,7.61094
2016-10-19,7.42857
2016-10-20,7.16109
2016-10-21,6.03039
2016-10-22,7.7082
2016-10-23,6.68693
2016-10-24,7.45288
2016-10-25,7.76899
2016-10-26,9.64133
2016-10-27,10.62613
2016-10-28,9.2158
2016-10-29,6.12765
2016-10-30,6.27355
2016-10-31,5.56838
2016-11-01,5.31306
2016-11-02,5.48328
2016-11-03,5.38601
2016-11-04,6.4924
2016-11-05,7.58662
2016-11-06,9.41033
2016-11-07,9.39817
2016-11-08,7.23404
2016-11-09,7.14893
2016-11-10,6.61398
2016-11-11,6.93009
2016-11-12,7.30699
2016-11-13,7.87841
2016-11-14,8.04863
2016-11-15,7.28267
2016-11-16,7.52583
2016-11-17,7.76899
2016-11-18,6.7234
2016-11-19,7.08814
2016-11-20,12.09726
2016-11-21,16.92401
2016-11-22,10.80851
2016-11-23,9.4468
2016-11-24,8.34042
2016-11-25,6.5775
2016-11-26,5.99392
2016-11-27,7.3313
2016-11-28,7.18541
2016-11-29,7.56231
2016-11-30,6.78419
2016-12-01,5.89665
2016-12-02,6.31003
2016-12-03,7.40425
2016-12-04,7.37993
2016-12-05,7.79331
2016-12-06,10.32218
2016-12-07,7.41641
2016-12-08,6.78419
2016-12-09,6.50455
2016-12-10,6.9544
2016-12-11,6.56534
2016-12-12,6.85714
2016-12-13,6.27355
2016-12-14,6.13981
2016-12-15,6.31003
2016-12-16,5.42249
2016-12-17,5.56838
2016-12-18,6.62613
2016-12-19,6.33434
2016-12-20,6.35866
2016-12-21,5.90881
2016-12-22,5.49544
2016-12-23,4.79027
2016-12-24,5.54407
2016-12-25,5.39817
2016-12-26,6.33434
2016-12-27,5.24012
2016-12-28,5.90881
2016-12-29,6.79635
2016-12-30,6.50455
2016-12-31,6.66261
2017-01-01,5.26443
2017-01-02,6.9544
2017-01-03,7.8541
2017-01-04,8.36474
2017-01-05,6.9544
2017-01-06,10.88145
2017-01-07,6.10334
2017-01-08,6.80851
2017-01-09,8.86322
2017-01-10,7.14893
2017-01-11,7.29483
2017-01-12,6.71124
2017-01-13,6.32218
2017-01-14,5.77507
2017-01-15,6.85714
2017-01-16,7.13677
2017-01-17,6.3465
2017-01-18,9.55623
2017-01-19,7.03951
2017-01-20,6.01823
2017-01-21,5.68996
2017-01-22,5.78723
2017-01-23,5.86018
2017-01-24,5.93313
2017-01-25,6.48024
2017-01-26,6.01823
2017-01-27,4.53495
2017-01-28,4.13373
2017-01-29,4.81458
